time,low,high,open,close,volume
1532476800,8061.07,8481.11,8395.81,8170.23,89988.19
1532563200,7862.67,8302.24,8170.37,7937.25,78993.93
1532649600,7806.25,8278.01,7937.1,8182.89,80336.48
1532736000,8070.04,8238.04,8182.88,8230.87,36136.12
1532822400,8123.53,8291.55,8230.82,8216.78,34073.43
1532908800,7867.44,8273.61,8216.7,8176.06,83918.76
1532995200,7663.7,8176.27,8176.08,7735.3,97152.13
1533081600,7449.31,7760.74,7736.25,7610.9,78466.58
1533168000,7470.86,7713.32,7610.9,7542.34,55711.79
1533254400,7296.76,7542.49,7542.34,7417.6,79126.57
1533340800,6940.15,7490.89,7417.6,7017.89,74300.44
1533427200,6898.31,7092.53,7017.89,7042.39,52556.01
1533513600,6854.79,7160.4,7042.57,6945.78,58545.04
1533600000,6685.02,7150.86,6945.77,6723.21,82683.83
1533686400,6133.03,6723.99,6723.29,6285.02,130417.52
1533772800,6195.02,6631.23,6285.06,6543.24,89588.13
1533859200,6025.91,6582.14,6543.25,6153.41,100856.92
1533945600,6014.26,6488.55,6152.95,6242.54,87651.14
1534032000,6176.89,6483.39,6242.53,6322.92,57916.23
1534118400,6157.03,6545.02,6322.41,6263.2,71073.56
1534204800,5891.87,6266.5,6263.2,6199.6,125196.64
1534291200,6193.63,6620.07,6199.63,6274.22,132926.33
1534377600,6217.33,6478.07,6274.22,6323.81,71357.92
1534464000,6300.45,6594.72,6323.81,6591.16,73383.05
1534550400,6322.44,6622.16,6591.18,6405.71,52093.8
1534636800,6330.56,6560.88,6405.74,6502.18,39452.94
1534723200,6248.39,6537.54,6502.24,6269.9,61983.28
1534809600,6259.81,6506.69,6270.09,6491.11,61753.86
1534896000,6264.34,6890.79,6491.09,6366.13,116096.61
1534982400,6356.96,6575.28,6366.14,6538.95,52740.3
1535068800,6481.76,6736.83,6539.13,6708.96,58037.12
1535155200,6684.19,6808.89,6708.94,6749.56,38189.09
1535241600,6588.48,6793.17,6749.71,6720.6,39682.91
1535328000,6674.84,6944.21,6720.6,6915.73,59984.28
1535414400,6877.2,7136.71,6915.92,7091.38,69448.01
1535500800,6944.76,7137.47,7091.38,7052.0,50361.95
1535587200,6818.69,7072.64,7051.61,6998.76,61266.88
1535673600,6903.08,7096.73,6998.76,7026.96,49774.38
1535760000,7025.58,7272.03,7026.96,7203.46,41873.76
1535846400,7144.71,7384.38,7203.46,7301.26,61424.38
1535932800,7204.89,7350.58,7301.25,7270.05,42451.23
1536019200,7246.76,7417.65,7270.05,7369.86,46681.9
1536105600,6694.06,7401.43,7369.89,6705.03,113370.51
1536192000,6295.11,6727.19,6705.06,6515.42,127586.04
1536278400,6345.48,6549.39,6515.42,6411.78,53170.79
1536364800,6134.76,6480.57,6413.12,6200.16,49719.12
1536451200,6161.83,6451.25,6200.23,6249.07,38701.0
1536537600,6247.64,6371.42,6249.07,6324.43,50695.88
1536624000,6199.19,6415.51,6324.43,6295.54,51401.22
1536710400,6208.28,6357.89,6295.54,6337.11,52814.83
1536796800,6337.08,6534.89,6337.08,6492.0,65684.53
1536883200,6393.84,6591.59,6492.17,6486.01,58029.07
1536969600,6473.47,6573.19,6485.39,6522.08,31894.67
1537056000,6404.31,6525.05,6522.68,6502.44,30897.54
1537142400,6216.83,6538.82,6502.44,6261.48,62738.57
1537228800,6238.25,6393.39,6261.33,6346.44,55076.95
1537315200,6131.02,6522.9,6346.44,6398.8,71293.01
1537401600,6361.33,6551.93,6398.83,6505.9,46802.06
1537488000,6501.01,6785.22,6505.97,6762.06,85295.46
1537574400,6633.01,6834.49,6762.07,6716.6,38829.87
1537660800,6663.9,6768.56,6716.6,6702.7,25143.83
1537747200,6557.82,6717.6,6702.73,6583.53,48934.13
1537833600,6333.21,6583.54,6583.53,6437.74,65381.85
1537920000,6383.16,6543.92,6437.74,6462.6,40752.6
1538006400,6434.76,6733.94,6462.6,6686.13,52542.0
1538092800,6545.41,6806.1,6686.13,6635.38,74353.41
1538179200,6474.23,6635.42,6635.4,6603.75,37296.34
1538265600,6543.68,6741.96,6603.75,6623.71,26335.14
1538352000,6510.54,6662.6,6623.82,6594.98,38926.98
1538438400,6478.04,6618.95,6594.98,6525.47,40624.2
1538524800,6428.98,6537.07,6525.46,6492.26,47186.0
1538611200,6486.86,6622.32,6492.61,6579.79,42142.96
1538697600,6546.98,6683.55,6580.0,6632.87,39731.28
1538784000,6563.25,6637.08,6632.88,6589.94,24787.61
1538870400,6535.02,6622.49,6589.94,6601.15,27272.67
1538956800,6565.01,6698.31,6601.46,6650.07,47216.82
